longitude,latitude,observed,predicted,distance_km,kf
10.549,43.677,6,6,22.434867062071156,0.10372549471267097
10.517,43.311,6,6,18.408792549410375,0.14035985981084498
10.615,43.573,6,7,12.085424171378614,0.17866852442521963
10.803,43.607,6,5,25.15444232345649,0.0801384156070381
10.554,43.684,6,6,23.214423663586043,0.10190525732669099
10.58,43.669,6,6,21.681965743695027,0.1290612935318587
10.575,43.516,6,7,4.9820059552221565,0.19021849662003318
10.505,43.843,6,3,41.032532417475885,0.017070389149086602
10.465,43.503,6,7,7.544073038952723,0.26256071139248355
10.142,44.037,6,4,70.53415850086675,0.03529120843261989
10.77,43.604,6,6,22.830115116119284,0.09262524662796415
10.602,43.524,6,7,6.876790014028981,0.2380797485425286
10.562,43.46,6,7,1.9280865862834629,0.15185334968617745
10.233,43.957,6,4,59.31282469614021,0.04128107202363244
10.565,43.433,6,7,4.81984466437462,0.18379308518109932
10.576,43.684,6,6,23.30691260167851,0.11198746834962582
10.441,43.763,6,5,33.17352258151867,0.060941532515977496
10.456,43.351,6,6,15.734465293206854,0.12414969382665579
10.577,43.699,6,6,24.973465551900887,0.10093033357585124
10.172,43.963,5,4,62.16794092596628,0.04203971018497634
10.326,43.495,5,5,18.25014223641964,0.082529686915727
10.467,43.748,5,5,31.051396652300568,0.05691049314280953
10.618,43.509,5,7,6.670169155108034,0.2677138890871941
10.547,43.687,5,6,23.5466181712635,0.09568323639671275
10.169,42.789,5,4,82.24505356104254,0.026281287886936996
10.538,43.72,5,5,27.227767463134867,0.0656048392715621
11.257,43.773,4,4,65.94941774230479,0.026478183239282967
10.099,44.08,4,4,76.37131539734747,0.03256429715626605
10.565,43.169,4,4,34.00550807611515,0.022623785854097054
10.947,43.719,4,5,41.967679177904046,0.050731884794688965
9.819,44.105,4,4,91.40877620835963,0.02942238363150203
10.722,43.498,4,6,14.141587249221548,0.12127511995230651
10.882,43.247,4,5,36.945243080117756,0.06168493146662467
10.416,43.464,4,7,10.907724543016633,0.175112983579525
10.635,43.661,4,6,21.768314385488274,0.12424470415740273
11.332,43.318,3,3,65.68830651518292,0.01812914638066603
10.248,43.87,3,5,50.17355793013574,0.05396305804874011
9.843,43.048,3,4,74.44314736038426,0.026625915724111847
9.906,43.43,3,3,52.34651779728344,0.007086451182255162
10.285,44.021,3,4,64.28640928596806,0.029323721057704154
10.69,43.903,3,4,48.85669309066372,0.042943585715453175
10.915,43.933,3,4,58.758032756621326,0.04073657985619006
10.319,42.814,3,4,75.77253558666716,0.02415106847811558
11.097,43.881,3,4,63.068276916315284,0.03581946483220514
10.31,43.993,3,4,60.692230943752676,0.03016056176205211
11.211,42.437,3,3,127.25795139308764,0.016643842068665864
